frame,global_plan_position_x,global_plan_position_y,global_plan_orientation_z,global_plan_orientation_w,ID
map,-2.549886,-6.531166,0.864312,0.502956,42
map,-2.562237,-6.509429,0.864315,0.502951,42
map,-2.574590,-6.487695,0.864323,0.502938,42
map,-2.586942,-6.465959,0.864327,0.502931,42
map,-2.599297,-6.444225,0.864330,0.502925,42
map,-2.611649,-6.422490,0.864314,0.502953,42
map,-2.624000,-6.400754,0.864383,0.502834,42
map,-2.636364,-6.379026,0.864493,0.502645,42
map,-2.648735,-6.357301,0.864561,0.502528,42
map,-2.661111,-6.335579,0.864614,0.502437,42
map,-2.673491,-6.313859,0.864749,0.502204,42
map,-2.685890,-6.292151,0.864964,0.501834,42
map,-2.698307,-6.270453,0.865108,0.501586,42
map,-2.710731,-6.248759,0.865205,0.501418,42
map,-2.723165,-6.227070,0.865438,0.501016,42
map,-2.735630,-6.205399,0.865713,0.500541,42
map,-2.748111,-6.183737,0.865929,0.500167,42
map,-2.760613,-6.162088,0.866061,0.499938,42
map,-2.773117,-6.140440,0.866278,0.499562,42
map,-2.785656,-6.118812,0.866565,0.499065,42
map,-2.798211,-6.097192,0.866792,0.498669,42
map,-2.810789,-6.075587,0.867038,0.498242,42
map,-2.823386,-6.053993,0.867249,0.497875,42
map,-2.836001,-6.032410,0.867531,0.497382,42
map,-2.848647,-6.010844,0.867741,0.497016,42
map,-2.861299,-5.989281,0.867891,0.496755,42
map,-2.873971,-5.967731,0.868079,0.496427,42
map,-2.886655,-5.946187,0.868319,0.496007,42
map,-2.899369,-5.924661,0.868613,0.495491,42
map,-2.912104,-5.903149,0.868746,0.495258,42
map,-2.924840,-5.881636,0.868918,0.494956,42
map,-2.937606,-5.860141,0.869123,0.494597,42
map,-2.950378,-5.838650,0.869282,0.494317,42
map,-2.963171,-5.817171,0.869399,0.494111,42
map,-2.975963,-5.795691,0.869546,0.493852,42
map,-2.988782,-5.774228,0.869815,0.493378,42
map,-3.001621,-5.752777,0.869946,0.493148,42
map,-3.014462,-5.731327,0.870055,0.492955,42
